title,minutes,cost,tags
Write down every song you loved at fifteen,30,free,create music nostalgic casual anywhere
Learn a song in a language you do not speak,60,free,create music try engaging home
"Read a play out loud, all the parts, on your own",90,free,create acting funny engaging home
Learn a monologue and perform it to a mirror,60,free,create acting challenging home
"Do a scene with somebody, both of you terrible",60,free,create acting friends funny engaging home
Record yourself telling a story and watch it back,40,free,create acting challenging home
Learn to do one convincing accent,45,free,create acting try engaging home
Improvise a scene with one rule neither of you can break,45,free,create acting friends funny engaging home
Read a picture book out loud with full commitment,4,free,create acting funny casual home
Dance to three songs with the door shut,15,free,create dancing funny move casual home
Learn one dance properly from a video,60,free,create dancing learn move engaging home
Go dancing somewhere you would normally leave early,180,frugal,create dancing friends move adventurous engaging indoors newpeople
Dance in the kitchen while the dinner cooks,10,free,create dancing romantic funny casual home partner
Learn the steps to something out of a film,60,free,create dancing nostalgic learn engaging home
Move for one whole song with your eyes closed,10,free,create dancing mindful move casual home
Slow dance to one song in the kitchen,10,free,create dancing romantic music casual home partner
Shoot a one-minute film on your phone with no cuts,60,free,create film challenging anywhere
Film the same place at four different times of day,90,free,create film mindful engaging outdoors
Make a title sequence for a film that does not exist,90,free,create film funny engaging home
Learn to edit one thing properly,120,free,create film learn challenging home
Film somebody you love doing the thing they always do,45,free,create film kindness nostalgic engaging anywhere
"Remake a scene you know by heart, badly",120,free,create film acting funny friends engaging anywhere
Shoot a whole roll of film and wait a week for it,120,frugal,create film visualart adventurous engaging outdoors
Make a stop-motion ten seconds long,120,free,create film funny challenging home
Take a hundred photographs of one object,45,free,create visualart engaging learn home
Photograph ten things that are all the same colour,60,free,create visualart engaging outdoors
Take photographs at night on a long exposure,90,free,create visualart film spooky engaging outdoors
Clear one surface completely and then stop,30,free,organize clean mindful casual home
Rearrange one room properly,150,free,organize move challenging home
Put every photograph from one year into an album,60,free,organize nostalgic engaging anywhere
Deal with the drawer of paper,60,free,organize challenging home
Work out one thing about your own money,40,free,organize learn engaging home
Write down ten things you would do with a free Saturday,20,free,organize writing casual anywhere
Put your books in an order that means something,60,free,organize funny engaging home
Cancel one subscription you had forgotten about,15,free,organize casual home
Plan next week on paper rather than on a screen,30,free,organize mindful casual home
Give away five things today,45,free,organize kindness casual home
Name every file on your desktop properly,40,free,organize casual home
Make a list of everybody you owe a message,20,free,organize kindness casual anywhere
Sort your clothes into what you actually wear,90,free,organize challenging clothes home
Empty one box you have not opened since you moved,60,free,organize nostalgic engaging home
Write down what you want this year to have in it,45,free,organize writing mindful engaging anywhere
Put every tool back where tools go,40,free,organize repair casual home
Put your affairs in order for exactly one hour,60,free,organize mindful engaging home
Clean the one thing you always look past,25,free,clean casual home
Wash the windows and notice the difference all week,60,free,clean engaging home
Clean your keyboard properly,20,free,clean casual home
Descale everything that can be descaled,45,free,clean engaging home
Take everything out of the fridge and start again,60,free,clean engaging home
Polish something until it looks new,40,free,clean mindful engaging home
Clean your shoes,25,free,clean mindful casual home
Sweep outside your own front door,20,free,clean kindness casual home
Do the washing up with the radio on and no hurry,30,free,clean mindful listen casual home
Clean out whatever you drive or ride,60,free,clean engaging home
Fix the thing you have been stepping over,30,free,repair casual home
Find out what is actually wrong with it before buying another,45,free,repair learn engaging home
Glue the broken thing back together and let the join show,45,free,repair create mindful engaging home
Sharpen every knife in the house,40,frugal,repair engaging learn home
Oil the hinge that has been squeaking for months,5,free,repair casual home
"Replace a fuse, a washer or a battery yourself",30,frugal,repair learn casual home
Take something broken apart just to see inside it,60,free,repair try challenging home
Patch the wall you have been ignoring,60,frugal,repair engaging home
"Restring, retune or re-fit something you own",45,frugal,repair engaging learn home
Fix somebody else’s broken thing,60,free,repair kindness engaging anywhere
"Learn how the boiler, the fuse box or the lock actually works",40,free,repair learn engaging home
Try a class you would be visibly bad at,90,costly,try learn challenging indoors newpeople friends
Learn twenty words of a language you will never speak,30,free,try learn casual anywhere
Teach yourself one knot,15,free,try learn casual anywhere
Learn to do one pull-up,20,frugal,try move challenging home
Learn to fold one good paper thing,30,free,try create casual mindful home
Learn to make one cocktail properly,40,frugal,try eat learn engaging home
Cook with one ingredient you have never used,90,frugal,try eat engaging home
Learn five trees on your own street,40,free,try learn casual outdoors
Learn to identify five birds by their sound,45,free,try learn mindful engaging outdoors
Try the food you decided you hated as a child,40,frugal,try eat funny casual anywhere
Learn one card trick well enough to fool somebody,60,free,try play funny engaging home
Learn to juggle three things,45,free,try play move challenging anywhere
Write with your other hand for a whole day,20,free,try funny casual anywhere
Learn to whistle properly,20,free,try funny casual anywhere
"Find out where your water comes from, then go and look at it",90,free,try learn engaging anywhere
Watch a film by somebody whose name you do not know,120,frugal,watch try engaging home
Watch something in a language you do not speak,110,free,watch try engaging home
Go to a matinee on your own,150,costly,watch solo casual indoors
Watch the film one of you loves and the other has never seen,150,free,watch romantic engaging home partner
Watch the sun come up,75,free,watch mindful engaging outdoors
Watch a horror film with all the lights off,110,free,watch spooky engaging home
Go to a gallery and look at one room only,60,frugal,watch mindful engaging indoors
Watch a sport you do not understand until you work out the rules,90,free,watch try funny engaging anywhere
Watch the film that terrified you as a child,110,free,watch spooky nostalgic engaging home
Sit somewhere busy and watch people for an hour,60,free,watch mindful casual indoors
Watch a documentary about something you would never choose,90,free,watch try engaging home
"Go to a play, even a bad one",180,costly,watch acting engaging indoors newpeople friends
Watch the whole credits and look up one name,4,free,watch funny casual home
Watch a thunderstorm from somewhere dry,30,free,watch mindful casual anywhere
"Listen to an album in the dark, start to finish",45,free,listen music mindful engaging home
Find out what your favourite band listened to,60,free,listen music learn engaging anywhere
Go and see live music by somebody you have never heard of,180,costly,listen music adventurous engaging indoors newpeople friends
Learn the names of five instruments in a piece you love,35,free,listen music learn engaging anywhere
Listen to a whole radio station from another country,45,free,listen try casual anywhere
Sit outside and listen with your eyes closed for ten minutes,15,free,listen mindful casual outdoors
Listen to the album that was everything when you were seventeen,45,free,listen music nostalgic casual anywhere
Ask somebody to play you their favourite song and say nothing,20,free,listen music friends kindness casual anywhere
Listen to a podcast about something you would never search for,45,free,listen try casual anywhere
Put on music from the year you were born,40,free,listen music nostalgic funny casual anywhere
Read the Wikipedia article you keep meaning to read,30,free,read learn casual anywhere
Reread the book that mattered when you were seventeen,180,free,read nostalgic engaging home
Read a whole magazine about something you know nothing about,60,frugal,read try casual anywhere
Read a short story out loud to somebody,45,free,read friends kindness engaging home
Read the same short story as somebody else and argue about it,90,free,read romantic friends engaging home partner
Read a ghost story in bed with one lamp on,45,free,read spooky casual home
Go to a library with no idea what you want,60,free,read adventurous casual indoors
Read the first chapter of five books and keep one,60,frugal,read casual anywhere
Read a poem a day until the week is out,10,free,read mindful casual anywhere
Read something written more than two hundred years ago,60,free,read challenging try anywhere
Read the local history of your own street,90,free,read learn nostalgic engaging anywhere
Read a whole book in one sitting,300,free,read challenging home
Walk to the furthest point you can reach in thirty minutes,60,free,travel move casual outdoors
Take the first bus that arrives and ride it to the end,180,frugal,travel adventurous funny engaging indoors
Get off two stops early and walk the rest,45,free,travel move casual outdoors
Take a train one stop past where you usually get off,240,frugal,travel romantic adventurous engaging indoors partner
Go somewhere by train with no bag and come back at night,480,costly,travel adventurous engaging indoors
Climb the highest thing nearby and look at where you live,90,free,travel move engaging outdoors
Find water and follow it downstream until it gets boring,120,free,travel move engaging outdoors
Walk one long road from end to end,180,free,travel move challenging outdoors
Go to the place tourists come to and be a tourist,120,frugal,travel funny casual indoors
Sleep outside,600,frugal,travel adventurous challenging outdoors
"Walk a route you know well, at night",45,free,travel mindful casual outdoors
Go somewhere with no map and no plan,75,free,travel adventurous engaging outdoors
Find the oldest thing near you and go and stand next to it,75,free,travel learn nostalgic casual indoors
Get up at five and go somewhere,180,free,travel adventurous engaging outdoors
Cycle somewhere you would normally drive,75,free,travel move engaging outdoors
Go and look at a building you have only ever seen photographs of,120,frugal,travel learn engaging indoors
Take a ferry for no reason,120,frugal,travel adventurous casual outdoors
Go somewhere neither of you has ever been,240,frugal,travel romantic adventurous engaging outdoors partner
"Cook something you have never cooked, properly",120,frugal,eat create engaging home
Make bread from scratch,240,free,eat create engaging home
Eat at the place you always walk past,90,frugal,eat casual indoors newpeople friends
Make a proper breakfast on a weekday,45,free,eat mindful kindness casual home
Bake something and give it away,120,frugal,eat create kindness engaging home
Have a picnic in unglamorous weather,75,frugal,eat mindful casual outdoors
Shop at a market instead of a supermarket,75,frugal,eat casual indoors newpeople friends
Cook the thing your family used to make,120,frugal,eat create nostalgic kindness engaging home
Eat somewhere serving a cuisine you cannot name,90,frugal,eat try adventurous casual indoors
Cook one dish together with no recipe between you,120,frugal,eat romantic create friends engaging home partner
Go out for breakfast before work,75,frugal,eat romantic casual indoors partner
Make the most complicated thing in the book,300,costly,eat challenging create home
Eat by candlelight on an ordinary Tuesday,60,free,eat romantic mindful casual home partner
Cook for somebody who does not usually get cooked for,150,frugal,eat kindness friends create engaging home
Grow one thing you can eat,60,frugal,eat create engaging home
Pick something wild and eat it,60,free,eat try learn engaging outdoors
Eat a meal with no phone anywhere in the room,45,free,eat mindful casual anywhere
Make something you have only ever bought,90,frugal,eat create try engaging home
Play a board game with actual people at an actual table,120,frugal,play friends funny engaging home
Go to a pub quiz and lose,150,frugal,play friends funny engaging indoors newpeople
Play the game you loved as a child,60,free,play nostalgic funny casual home
Learn a card game nobody you know plays,45,free,play try learn engaging home
Fly a kite badly,60,frugal,play funny move casual outdoors
Take up a sport you are too old to start,90,frugal,play move try challenging friends indoors newpeople
Throw something at a wall and catch it a thousand times,30,free,play move mindful casual anywhere
Play hide and seek with somebody far too old for it,30,free,play funny friends romantic casual home
Set a puzzle going and leave it out all week,30,frugal,play mindful casual home
"Skateboard, badly, in an empty car park",60,frugal,play move funny adventurous casual outdoors
Play chess against a stranger in a park,60,free,play challenging outdoors newpeople friends
Do a jigsaw and talk the whole way through it,150,frugal,play romantic mindful friends casual home partner
Play twenty questions about something real,20,free,play funny friends casual anywhere
Swim somewhere outdoors,90,frugal,play move adventurous engaging outdoors
Invent a game out of the things on the table,30,free,play funny friends create casual anywhere
Play arcade games with actual coins,60,frugal,play nostalgic funny friends casual indoors
"Run the loop you always mean to run, slowly",40,free,move engaging outdoors
Walk ten thousand steps in one go,120,free,move challenging outdoors
Swim lengths until you lose count,60,frugal,move mindful engaging outdoors
Carry something heavy up a hill,45,free,move challenging outdoors
Do the exercise you are worst at,30,free,move challenging try home
Walk there and get the bus back,90,frugal,move travel casual outdoors
Take the stairs everywhere for a day,20,free,move casual funny anywhere
"Move every joint you own, once",4,free,move mindful casual home
Race somebody to the end of the road,15,free,move funny friends casual outdoors
Stretch on the floor for twenty minutes,25,free,move mindful casual home
Do nothing for twenty minutes on purpose,20,free,mindful casual home
Have a bath with the phone in another room,45,free,mindful casual home
Go to bed absurdly early,30,free,mindful casual home
Delete one app for a week,10,free,mindful organize casual anywhere
Walk with no destination and no podcast,45,free,mindful move casual outdoors
Sit in one place outdoors for a whole hour,60,free,mindful engaging outdoors
"Watch the fire, or the rain, or the kettle",15,free,mindful casual anywhere
Say nothing for the first hour you are awake,60,free,mindful challenging home
Plant something,60,frugal,mindful create casual anywhere
Lie on the floor and listen to one long piece of music,40,free,mindful listen music casual home
Look at the sky until you have found five things in it,4,free,mindful casual outdoors
Ring somebody instead of texting them,25,free,kindness casual anywhere
Have people over for something small,180,frugal,friends kindness eat engaging home
Organise the thing everybody says they want to do,30,free,friends organize kindness challenging anywhere
Ask somebody to teach you what they are good at,90,free,friends learn kindness engaging anywhere newpeople
Have one long conversation with no phones on the table,120,free,mindful engaging anywhere
Walk beside somebody instead of sitting opposite them,75,free,friends move mindful casual outdoors
Do the errand somebody else has been dreading,45,free,kindness casual anywhere
Turn up to a local meeting about something,90,free,learn kindness engaging indoors newpeople friends
Volunteer for exactly one shift,180,free,kindness challenging indoors newpeople friends
Write to somebody who will never expect it,30,free,kindness writing nostalgic casual anywhere
Pick up litter along one street,30,free,kindness move casual outdoors
Leave something good for a stranger to find,25,free,kindness funny create casual indoors
Start the group chat that becomes a monthly thing,20,free,friends organize kindness casual anywhere
Introduce two people who should already know each other,20,free,kindness casual anywhere newpeople friends
Sit with somebody who is having a bad month,120,free,friends kindness mindful engaging anywhere
Cook for your neighbours,150,frugal,kindness eat engaging home newpeople friends
Interview each other about something you have never asked about,60,free,romantic friends mindful engaging anywhere partner
Get dressed up for no occasion at all,180,costly,romantic funny casual indoors partner
Plan a trip you might never take,90,free,romantic organize engaging home partner
Walk home instead of getting a taxi,60,free,romantic move casual outdoors partner
Write down five things you each want this year and compare,45,free,romantic organize writing engaging anywhere partner
"Learn something together, badly",45,free,romantic try learn funny engaging home partner
Reread the messages from when you first met,30,free,romantic nostalgic casual anywhere partner
Take a proper photograph of each other,45,free,romantic create visualart engaging anywhere partner
Cook the meal from the night it started,120,frugal,romantic eat nostalgic engaging home partner
Give each other an hour with no interruptions,60,free,romantic mindful casual home partner
Go out on a weeknight as though it were a weekend,150,frugal,romantic adventurous casual indoors partner
Watch the stars from somewhere with no streetlights,120,free,romantic mindful engaging outdoors partner
Argue properly about something that does not matter,30,free,romantic funny engaging anywhere partner
Do the thing the other one always suggests,90,free,romantic kindness casual anywhere partner
Walk a graveyard at dusk,45,free,spooky mindful casual outdoors
Read about the strangest thing that ever happened where you live,45,free,spooky read learn engaging anywhere
Tell ghost stories with the lights off,60,free,spooky friends funny engaging home
Find the most abandoned-looking building near you and go and look,60,free,spooky travel adventurous casual indoors
Watch the horror film you have been avoiding,110,free,spooky watch challenging home
Learn one genuinely unsettling fact and sit with it,20,free,spooky learn casual anywhere
Go somewhere very quiet at three in the morning,60,free,spooky adventurous challenging outdoors
Read a folk tale from wherever your family is from,45,free,spooky read nostalgic learn engaging anywhere
Make a playlist for a haunting,40,free,spooky create music funny casual anywhere
Step outside and look up for two minutes,2,free,mindful outdoors casual
Send somebody a photograph of what you can see right now,2,free,kindness anywhere casual
Write one sentence about today,3,free,create writing home solo casual
Learn one word in another language,3,free,learn try anywhere solo casual
Stand on one leg until you cannot,2,free,move play funny anywhere casual
Put on one song and do nothing else,4,free,listen music mindful home solo casual
Look up what your street is named after,4,free,learn read anywhere solo casual
Water the plants,4,free,clean mindful home solo casual
Say the thing you have been meaning to say,3,free,kindness anywhere partner friends challenging
Open a window and listen for one minute,2,free,listen mindful home solo casual
Draw one small thing in the corner of a page,4,free,create drawing visualart home solo casual
Take one photograph of something completely ordinary,3,free,create visualart anywhere solo casual
Build something out of the flattened boxes before they go out,60,free,create play funny casual home
Make a piece of furniture out of one plank,240,frugal,create repair challenging home
Design a flag for the street you live on,45,free,create funny engaging home
Invent a board game and make somebody play it,120,free,create play friends challenging home
Take a rubbing of every interesting surface on one walk,45,free,create mindful casual outdoors
Build the highest thing you can out of what is on the table,20,free,create play funny casual anywhere
Make a scale model of your own street,180,frugal,create challenging home
Design the room you would build if money were no object,60,free,create engaging home
Make a wreath out of things you find on the ground,60,free,create mindful engaging outdoors
Cast a candle in a mould you made yourself,90,frugal,create try engaging home
Empty your inbox to nothing and keep it there a week,90,free,organize challenging home
Photograph everything you own of one particular kind,60,free,organize funny engaging home
Make a map of where everything in the kitchen lives,45,free,organize casual home
Write down every recurring payment you have,30,free,organize engaging home
Get one year of photographs down to ten,60,free,organize challenging home
Label everything in one drawer,30,free,organize casual home
Make the list of everything in this place that needs fixing,25,free,organize repair casual home
Sort the loose photographs into people,60,free,organize nostalgic engaging home
Pack a bag you could leave with in ten minutes,45,free,organize adventurous engaging home
Book the appointment you have been putting off,15,free,organize challenging home
Wash the outside of every window you can safely reach,60,free,clean engaging home
Take the bins out and then wash the bins,30,free,clean casual home
Wipe every light switch and door handle in the house,25,free,clean casual home
Clean one window until it disappears,20,free,clean mindful casual home
Wash the thing you have only ever wiped,40,free,clean engaging home
Get the limescale off the shower door for good,50,frugal,clean challenging home
Clean out the drawer nearest the kettle,25,free,clean casual home
Beat the rugs outside as though it were 1890,40,free,clean move funny engaging outdoors
Clean the oven with something long on in the background,90,free,clean listen engaging home
Wash every mug down past the tea line,25,free,clean mindful casual home
Re-glue the chair that wobbles,45,frugal,repair engaging home
Learn to darn one hole properly,45,free,repair create clothes learn engaging home
Replace the cable rather than the whole thing,40,frugal,repair learn engaging home
Sew the button back on before you next need it,15,free,repair create clothes casual home
Take the bicycle apart and put it back together,120,free,repair try challenging home
Track down the noise and put a stop to it,45,free,repair engaging home
Change every dead bulb in one go,25,frugal,repair casual home
Service the thing that has never been serviced,60,frugal,repair learn engaging home
Repair something with entirely the wrong material,45,free,repair funny try casual home
Get the squeaky floorboard to shut up,60,free,repair challenging home
Try to draw a perfect circle for ten minutes,10,free,try create visualart drawing funny casual home
Learn to solve the cube from a video,120,frugal,try learn challenging home
Eat one whole meal with your other hand,30,free,try funny casual home
Learn to sharpen a pencil with a knife,15,free,try learn casual home
Take up a sport nobody you know plays,120,costly,try play move engaging indoors newpeople friends
Learn one useful sentence in three languages,30,free,try learn casual anywhere
Cook the recipe that has always looked too hard,150,frugal,try eat challenging home
Learn to skim a stone properly,30,free,try play move casual outdoors
Order the drink you have decided you do not like,20,frugal,try eat funny casual indoors
Learn to ride with no hands,45,free,try move play challenging outdoors
Learn one magic trick with a coin,45,free,play try funny engaging home
Play darts until you can finish on a double,90,frugal,play friends engaging indoors
Run a tournament of something ridiculous,120,free,play friends funny engaging home
Finish the game you abandoned years ago,180,free,play nostalgic engaging home
Do a crossword with somebody else,45,free,play friends casual home
Throw a ball back and forth until you both get bored,30,free,play move friends casual outdoors
Beat your own record at something pointless,25,free,play funny move casual anywhere
Play table football against a stranger,45,frugal,play funny challenging indoors newpeople friends
Learn to play conkers or marbles again,30,free,play nostalgic funny casual outdoors
Teach somebody the game you loved as a child,60,free,play kindness nostalgic casual home
Walk up every set of stairs between here and there,45,free,move challenging outdoors
Spend twenty minutes on something you cannot do yet,20,free,move try challenging home
Walk somewhere before the sun is up,60,free,move mindful engaging outdoors
Cycle the whole length of one park,60,free,move engaging outdoors
Get into cold water and straight back out,30,free,move adventurous challenging outdoors
Hang from something until you have to let go,5,free,move funny challenging home
Carry the shopping home instead of driving it,45,free,move casual outdoors
Learn to move in a way you have never moved,45,free,move try dancing engaging home
Walk the whole perimeter of where you live,120,free,move engaging outdoors
Get properly out of breath once today,20,free,move challenging outdoors
Find out who lived in your house before you,90,free,learn engaging home
Learn the rules of a sport well enough to argue about them,60,free,learn watch engaging anywhere
Learn where your electricity actually comes from,45,free,learn engaging home
Read the whole manual for something you already own,45,free,learn read casual home
Learn to read a map with the phone in your pocket,60,free,learn travel engaging outdoors
Learn ten stars and then go and find them,60,free,learn watch mindful engaging outdoors
Learn what the buildings on your walk are made of,45,free,learn casual outdoors
Teach yourself the history of one single year,90,free,learn read challenging home
Learn how to tell whether a thing is well made,60,free,learn engaging indoors
Learn the difference between two things you have always confused,30,free,learn casual anywhere
Take something round to the neighbour you never speak to,30,free,kindness casual home newpeople
Write a reference for somebody who has not asked for one,40,free,kindness writing engaging anywhere
Pay for the person behind you and leave,10,frugal,kindness casual indoors
Give a proper compliment to somebody who never gets one,10,free,kindness casual anywhere
Do the washing up in somebody else’s house,25,free,kindness clean casual anywhere
Send the message you keep not sending,15,free,kindness challenging anywhere
Give an afternoon to somebody who is moving,240,free,kindness friends move challenging anywhere
Teach somebody the thing you are best at,90,free,kindness learn engaging anywhere
Leave a good review for somewhere small,15,free,kindness writing casual anywhere
Give away the thing somebody else keeps admiring,20,free,kindness casual home
Write down the advice you would give yourself at twenty,45,free,create writing nostalgic engaging anywhere
Write a hundred words a day until the week is out,20,free,create writing casual anywhere
Write the obituary of somebody you have invented,45,free,create writing funny engaging anywhere
Describe your own face in writing with no mirror,25,free,create writing funny casual anywhere
Keep a list of every good sentence you hear this week,20,free,create writing casual anywhere
Write a scene set entirely in a lift,40,free,create writing engaging anywhere
Write the instructions for a machine that does not exist,40,free,create writing funny engaging home
Write down the three stories you always tell,45,free,create writing nostalgic engaging anywhere
Write a page in the voice of somebody you cannot stand,40,free,create writing challenging anywhere
Write the last page first and then the rest,60,free,create writing challenging anywhere
Photograph every door on one street,60,free,create visualart engaging outdoors
Take a self-portrait you would actually keep,45,free,create visualart challenging home
Photograph the same person every day for a week,30,free,create visualart engaging anywhere
Photograph what is left at the end of the day,20,free,create visualart mindful casual home
Make a cyanotype on the windowsill,120,frugal,create visualart try engaging home
Photograph a whole day in twelve pictures,180,free,create visualart engaging anywhere
Frame something you made and hang it up,45,frugal,create visualart casual home
Photograph strangers’ hands with their permission,60,free,create visualart challenging outdoors newpeople
Photograph the ugliest thing near you until it looks good,45,free,create visualart funny engaging outdoors
Photograph one corner in every season and start today,20,free,create visualart mindful casual outdoors
Draw everybody on the bus,45,free,create visualart drawing engaging indoors
Draw the plant on the windowsill leaf by leaf,60,free,create visualart drawing mindful engaging home
Draw your own hand ten different ways,45,free,create visualart drawing engaging home
Draw a building from across the road,60,free,create visualart drawing challenging outdoors
Draw the inside of something you have taken apart,45,free,create visualart drawing repair engaging home
Draw one thing a day this week on the same page,30,free,create visualart drawing casual home
Draw in ink with no pencil underneath it,40,free,create visualart drawing challenging home
Draw the view from the highest window you can get to,60,free,create visualart drawing engaging indoors
Draw from memory somebody you see every single day,40,free,create visualart drawing nostalgic engaging home
Draw with charcoal and accept the mess,60,frugal,create visualart drawing try engaging home
Paint the same thing in the morning and at night,120,frugal,create visualart painting engaging home
Paint a whole picture in under ten minutes,10,frugal,create visualart painting try casual home
Paint something for the wall that has been bare for years,180,frugal,create visualart painting challenging home
Paint with a brush far too big for the job,45,frugal,create visualart painting funny try casual home
Paint the sky and nothing else,60,frugal,create visualart painting mindful engaging home
Paint somebody from a photograph of them at your age,150,frugal,create visualart painting nostalgic challenging home
Copy a painting you have never understood,180,frugal,create visualart painting learn challenging home
Paint outdoors and let the weather join in,90,frugal,create visualart painting adventurous engaging outdoors
Paint every colour in your kitchen onto one card,45,frugal,create visualart painting casual home
Paint a sign for something in the house,60,frugal,create visualart painting funny engaging home
Carve a spoon out of a piece of wood,180,frugal,create visualart sculpting learn challenging home
Make a face out of clay in twenty minutes,20,frugal,create visualart sculpting try casual home
Bend something out of wire that stands up on its own,60,frugal,create visualart sculpting engaging home
Make a bowl by hand and then use it,120,frugal,create visualart sculpting engaging home
Carve something into a bar of soap,45,frugal,create visualart sculpting funny casual home
Build a cairn somewhere it will be found,30,free,create visualart sculpting mindful casual outdoors
Make the same shape until your hands know it,90,frugal,create visualart sculpting challenging home
Model somebody’s hands from life,90,frugal,create visualart sculpting challenging home
Make something out of ice and watch it go,60,free,create visualart sculpting mindful casual home
Whittle whatever stick you pick up on the walk,45,free,create visualart sculpting casual outdoors
Make a collage out of one year of your life,90,free,create visualart mixedmedia nostalgic engaging home
Cut up a book you will never read and make something else,60,frugal,create visualart mixedmedia funny engaging home
Make a poster for a night that never happened,60,free,create visualart mixedmedia funny engaging home
Keep a scrapbook of one single week,60,free,create visualart mixedmedia writing casual home
Build a diorama of somewhere you remember,150,frugal,create visualart mixedmedia nostalgic challenging home
Make a mobile that actually balances,90,frugal,create visualart mixedmedia challenging home
Print something with anything but a printing press,60,frugal,create visualart mixedmedia try engaging home
Make a paper model of a building you like,120,frugal,create visualart mixedmedia challenging home
Decorate something dull that you use every day,45,frugal,create visualart mixedmedia casual home
Make the card by hand for the next birthday,45,frugal,create visualart mixedmedia kindness casual home
Take up the trousers that have never quite fitted,90,frugal,create clothes repair engaging home
Make a bag out of something you no longer wear,120,frugal,create clothes challenging home
Sew a pocket into something that has none,90,frugal,create clothes try engaging home
Learn to use a sewing machine well enough to be dangerous,120,frugal,create clothes learn challenging home
Dress for the decade you liked best for one whole day,60,free,create clothes nostalgic funny casual anywhere
